jugador vs jugador
vainilla 8 5
chocolate 8 10
monster maceta 1 1
monster troll 1 14
monster troll 14 1
block iceblock 0 1
block iceblock 0 2
block iceblock 0 3
block iceblock 0 4
block iceblock 0 5
block iceblock 0 6
block iceblock 0 7
block iceblock 0 8
block iceblock 0 9
block iceblock 0 10
block iceblock 0 11
block iceblock 0 12
block iceblock 0 13
block iceblock 0 14
block iceblock 15 1
block iceblock 15 2
block iceblock 15 3
block iceblock 15 4
block iceblock 15 5
block iceblock 15 6
block iceblock 15 7
block iceblock 15 8
block iceblock 15 9
block iceblock 15 10
block iceblock 15 11
block iceblock 15 12
block iceblock 15 13
block iceblock 15 14
block iceblock 1 0
block iceblock 2 0
block iceblock 3 0
block iceblock 4 0
block iceblock 5 0
block iceblock 6 0
block iceblock 7 0
block iceblock 8 0
block iceblock 9 0
block iceblock 10 0
block iceblock 11 0
block iceblock 12 0
block iceblock 13 0
block iceblock 14 0
block iceblock 1 15
block iceblock 2 15
block iceblock 3 15
block iceblock 4 15
block iceblock 5 15
block iceblock 6 15
block iceblock 7 15
block iceblock 8 15
block iceblock 9 15
block iceblock 10 15
block iceblock 11 15
block iceblock 12 15
block iceblock 13 15
block iceblock 14 15
block iceblock 3 3
block iceblock 3 5
block iceblock 3 6
block iceblock 3 9
block iceblock 3 10
block iceblock 3 12
block iceblock 12 4
block iceblock 12 5
block iceblock 12 6
block iceblock 12 9
block iceblock 12 10
block iceblock 12 12
block iceblock 3 11
block iceblock 12 11
block iceblock 3 4
block iceblock 12 3
block iceblock 4 3
block iceblock 5 3
block iceblock 6 3
block iceblock 7 3
block iceblock 8 3
block iceblock 9 3
block iceblock 10 3
block iceblock 11 3
block iceblock 4 12
block iceblock 5 12
block iceblock 6 12
block iceblock 7 12
block iceblock 8 12
block iceblock 9 12
block iceblock 10 12
block iceblock 11 12
block decoration 0 0
block decoration 0 15
block decoration 15 0
block decoration 15 15
block decoration 6 6
block decoration 6 7
block decoration 6 8
block decoration 6 9
block decoration 7 6
block decoration 7 7
block decoration 7 8
block decoration 7 9
block decoration 8 6
block decoration 8 7
block decoration 8 8
block decoration 8 9
block decoration 9 6
block decoration 9 7
block decoration 9 8
block decoration 9 9
phase 1
fruit platano 2 2
fruit platano 2 13
fruit platano 13 2
fruit platano 13 13
fruit platano 7 5
fruit platano 7 10
fruit platano 5 7
fruit platano 5 8

phase 2
fruit uva 1 1
fruit uva 1 14
fruit uva 14 1
fruit uva 14 14
fruit uva 4 4
fruit uva 4 11
fruit uva 11 4
fruit uva 11 11
